location,population,highestinfectioncount,percentpopulationinfected
Sri Lanka,21832150,672779,3.08159755223375
Sao Tome and Principe,227393,6771,2.97766422009473
Laos,7529477,219048,2.90920604445701
Lower middle income,3432097300,97543197,2.84208716926528
Indonesia,275501344,6829120,2.47879734481441
Saudi Arabia,36408824,841469,2.31116775427847
Gabon,2388997,49051,2.05320475496621
Venezuela,28301700,552695,1.95286855559913
Timor,1341298,23460,1.74905203765308
Zambia,20017670,349661,1.74676173600624
Zimbabwe,16320539,266365,1.63208457759882
Lesotho,2305826,36138,1.56724748528293
Djibouti,1120851,15690,1.39982923689233
Mauritania,4736146,63866,1.34848038890693
Kyrgyzstan,6630621,88953,1.34154855178723
Bangladesh,171186368,2050703,1.19793592443062
Myanmar,54179312,642545,1.18596005796456
Comoros,836783,9109,1.08857374014529
Equatorial Guinea,1674916,17130,1.02273785670446
Rwanda,13776702,133252,0.967227134621915
Africa,1426736614,13142811,0.921179906020131
Cambodia,16767851,139213,0.830237577850614
Mozambique,32969520,233825,0.709215663437017
Pakistan,235824864,1580631,0.670256296638848
Kenya,54027484,344101,0.636899915605916
Algeria,44903228,272034,0.605822815232793
Afghanistan,41128772,235214,0.571896481616324
Senegal,17316452,89099,0.514533808657801
Ghana,33475870,172037,0.513913454676458
Uzbekistan,34627648,175081,0.505610430139523
Gambia,2705995,12627,0.466630573966323
Egypt,110990096,516023,0.464927068808013
Papua New Guinea,10142625,46864,0.462050011708014
Guinea-Bissau,2105580,9614,0.45659628225952
Cameroon,27914542,125238,0.448647876794826
Togo,8848700,39530,0.446732288358742
Malawi,20405318,89168,0.436984123452524
Burundi,12889583,54569,0.423357373159395
Congo,5970430,25220,0.422415135928233
Ethiopia,123379928,501172,0.406202214674659
Uganda,47249588,172152,0.364346034086054
Low income,737604900,2331950,0.316151641617348
Cote d'Ivoire,28160548,88428,0.314013775584197
Angola,35588996,107468,0.301969743681446
Haiti,11585003,34298,0.296055167184678
Guinea,13859349,38572,0.278310330449143
Central African Republic,5579148,15440,0.276744764612805
Eritrea,3684041,10189,0.276571297659282
Syria,22125242,57423,0.259536144282625
Nicaragua,6948395,16150,0.232427776486512
Madagascar,29611718,68552,0.231502947583116
Benin,13352864,28036,0.209962447007623
Tajikistan,9952789,17786,0.178703677933894
South Sudan,10913172,18823,0.172479642032582
Somalia,17597508,27334,0.155328811329422
Liberia,5302690,8090,0.152564075968989
Mali,22593598,33164,0.146784943239231
Sudan,46874200,63993,0.136520729953791
Nigeria,218541216,267188,0.122259775474115
Democratic Republic of Congo,99010216,100616,0.101621836679964
Burkina Faso,22673764,22129,0.0975973817139492
Sierra Leone,8605723,7836,0.0910556846879687
Tanzania,65497752,43226,0.065996158158222
Chad,17723312,7702,0.0434568888704323
Niger,26207982,9518,0.0363171800102732
Yemen,33696612,11945,0.0354486676583391
